event_name,event_date,event_status
"Leadership and Academic Excellence Assembly",2025-08-07,Completed
"Sustainability Bootcamp",2026-01-13,Completed
"Nursing Care Seminar",2024-02-22,Completed
"College Robotics Assembly",2026-08-23,Upcoming
"College Debate Dialogue",2023-10-18,Completed
"Community Outreach and Engineering Design Seminar",2023-01-11,Completed
"Research Camp",2023-08-12,Completed
"Public Speaking and Innovation Learning Session",2023-06-11,Completed
"Public Speaking Workshop",2026-08-20,Upcoming
"Inclusive Robotics Mentoring Day",2026-03-24,Completed
"Applied Health Awareness Summit",2023-11-23,Completed
"Inclusive Business Management Camp",2025-12-16,Completed
"Digital Literacy and Psychology Dialogue",2026-03-19,Completed
"Future-Ready Community Outreach Conference",2025-12-12,Completed
"Community Outreach Workshop",2023-02-27,Completed
"Creative Debate Forum",2026-11-06,Upcoming
"Data Analytics and Arts and Culture Learning Session",2025-11-06,Completed
"Regional Robotics Forum",2025-01-18,Completed
"Teaching Excellence and Teacher Training Series",2026-01-04,Completed
"College Sustainability Mentoring Day",2025-07-14,Completed
"Psychology Forum",2024-12-01,Completed
"Industry-Academe Data Analytics Summit",2024-07-27,Completed
"Young Leaders Debate Symposium",2024-02-08,Completed
"Applied Business Management Orientation",2024-05-10,Completed
"Career Development and Sustainability Mentoring Day",2023-02-16,Completed
"Regional Entrepreneurship Forum",2023-04-18,Completed
"Nursing Care Training",2026-12-18,Upcoming
"College Data Analytics Orientation",2024-01-14,Completed
"University-Wide Mental Health Conference",2026-05-28,Upcoming
"Faculty Cybersecurity Mentoring Day",2023-08-26,Completed
"Career Development Bootcamp",2025-10-27,Completed
"Annual Environmental Awareness Workshop",2023-03-15,Completed
"Business Management and Engineering Design Assembly",2026-02-23,Completed
"Interdepartmental Mental Health Colloquium",2025-12-22,Completed
"Annual Environmental Awareness Symposium",2023-08-14,Completed
"Community Inclusive Education Symposium",2024-07-24,Completed
"Interdepartmental Arts and Culture Series",2024-11-02,Completed
"Industry-Academe Academic Excellence Assembly",2026-08-11,Upcoming
"Cybersecurity and Athletics Expo",2026-11-12,Upcoming
"Student Government Assembly",2024-02-25,Completed
"Digital Literacy and Alumni Engagement Fair",2025-06-26,Completed
"University-Wide Financial Literacy Assembly",2024-10-01,Completed
"Innovation and Volunteerism Bootcamp",2026-07-16,Upcoming
"Community Outreach and Public Speaking Fair",2023-10-20,Completed
"Creative Environmental Awareness Camp",2025-11-05,Completed
"Alumni Engagement Seminar",2026-03-28,Completed
"Young Leaders Leadership Congress",2026-02-06,Completed
"University-Wide Science Education Conference",2025-06-01,Completed
"Public Speaking Fair",2024-10-27,Completed
"Creative Language and Literature Workshop",2025-08-19,Completed
"Annual Science Education Series",2024-08-04,Completed
"Future-Ready Sustainability Congress",2023-12-26,Completed
"Faculty Disaster Preparedness Symposium",2023-05-11,Completed
"Career Development and Teaching Excellence Learning Session",2026-01-28,Completed
"Sustainability and Hospitality Conference",2024-04-17,Completed
"Nursing Care and Mental Health Symposium",2024-05-21,Completed
"Financial Literacy Bootcamp",2024-10-15,Completed
"Teaching Excellence Assembly",2024-05-05,Completed
"Arts and Culture and Mental Health Expo",2024-12-04,Completed
"Health Awareness Assembly",2025-03-05,Completed
"Interdepartmental Debate Orientation",2025-03-21,Completed
"Teacher Training and Academic Excellence Learning Session",2023-12-20,Completed
"Regional Public Speaking Mentoring Day",2024-07-22,Completed
"Volunteerism and Media Production Assembly",2026-04-15,Completed
"Campus Data Analytics Workshop",2025-02-04,Completed
"Inclusive Hospitality Showcase",2025-07-13,Completed
"Future-Ready Alumni Engagement Symposium",2026-10-19,Upcoming
"Debate Learning Session",2023-12-09,Completed
"Inclusive Hospitality Expo",2023-01-08,Completed
"Environmental Awareness Seminar",2026-06-03,Upcoming
"Alumni Engagement Workshop",2023-07-31,Completed
"Data Analytics and Career Development Learning Session",2024-11-30,Completed
"Industry-Academe Health Awareness Training",2023-11-26,Completed
"Volunteerism Assembly",2025-06-19,Completed
"Tourism and Service Learning Workshop",2024-04-09,Completed
"Faculty Service Learning Orientation",2023-01-23,Completed
"Tourism and Business Management Showcase",2024-03-25,Completed
"Alumni Engagement Bootcamp",2026-11-01,Upcoming
"Engineering Design and Inclusive Education Assembly",2025-03-24,Completed
"Data Analytics Showcase",2025-10-24,Completed
"Creative Tourism Seminar",2024-02-26,Completed
"Inclusive Education Assembly",2025-01-08,Completed
"Business Management Learning Session",2025-05-16,Completed
"Mental Health Congress",2023-03-10,Completed
"Media Production and Volunteerism Learning Session",2024-12-09,Completed
"Community Language and Literature Series",2026-07-21,Upcoming
"Academic Excellence Mentoring Day",2026-09-06,Upcoming
"Hospitality and Data Analytics Workshop",2023-07-10,Completed
"Service Learning and Innovation Assembly",2025-07-12,Completed
"Engineering Design and Sustainability Expo",2023-02-17,Completed
"Cybersecurity and Academic Excellence Learning Session",2023-04-04,Completed
"Wellness and Community Outreach Workshop",2024-01-24,Completed
"Innovation and Sustainability Expo",2025-04-04,Completed
"Future-Ready Public Speaking Expo",2025-05-01,Completed
"Volunteerism Orientation",2024-07-16,Completed
"Digital Literacy Series",2026-12-13,Upcoming
"University-Wide Business Management Showcase",2023-02-14,Completed
"Psychology Fair",2024-08-19,Completed
"Community Business Management Assembly",2025-08-10,Completed
"Inclusive Education and Disaster Preparedness Conference",2026-04-14,Completed
"Future-Ready Teaching Excellence Workshop",2026-08-07,Upcoming
"College Financial Literacy Assembly",2026-12-04,Upcoming
"Service Learning and Academic Excellence Mentoring Day",2023-05-13,Completed
"Robotics Fair",2025-12-12,Completed
"Research and Innovation Workshop",2024-06-26,Completed
"Business Management and STEM Assembly",2023-05-06,Completed
"Student STEM Assembly",2023-05-22,Completed
"Teaching Excellence and Data Analytics Camp",2023-11-14,Completed
"Future-Ready Science Education Fair",2024-01-08,Completed
"Environmental Awareness and Community Outreach Assembly",2024-11-21,Completed
"Public Speaking and Science Education Bootcamp",2023-03-29,Completed
"Financial Literacy and Research Congress",2026-02-06,Completed
"Service Learning and Cybersecurity Mentoring Day",2025-01-08,Completed
"Industry-Academe Volunteerism Bootcamp",2024-01-10,Completed
"Annual Entrepreneurship Fair",2026-03-28,Completed
"Health Awareness and Business Management Bootcamp",2024-07-06,Completed
"Engineering Design Seminar",2023-06-24,Completed
"Service Learning Series",2023-02-11,Completed
"Regional STEM Colloquium",2026-04-30,Upcoming
"Psychology Assembly",2023-05-17,Completed
"Inclusive Education and Wellness Dialogue",2023-12-05,Completed
"Sustainability and Psychology Series",2023-12-12,Completed
"Campus Media Production Fair",2025-01-16,Completed
"Leadership Camp",2025-06-11,Completed
"Academic Excellence and Campus Journalism Congress",2023-01-15,Completed
"Digital Literacy Mentoring Day",2025-07-10,Completed
"Future-Ready Engineering Design Congress",2023-04-26,Completed
"Wellness and Research Bootcamp",2025-11-03,Completed
"Applied Inclusive Education Camp",2025-03-21,Completed
"Language and Literature and Nursing Care Bootcamp",2025-02-05,Completed
"University-Wide Research Orientation",2024-11-01,Completed
"Creative Cybersecurity Assembly",2024-12-31,Completed
"Robotics and Tourism Seminar",2026-11-20,Upcoming
"University-Wide Academic Excellence Orientation",2026-08-10,Upcoming
"Nursing Care Workshop",2023-10-02,Completed
"Environmental Awareness and Robotics Training",2026-07-04,Upcoming
"Campus Teacher Training Assembly",2023-09-19,Completed
"Robotics and Nursing Care Dialogue",2023-10-09,Completed
"Community Digital Literacy Summit",2024-10-03,Completed
"Campus Service Learning Assembly",2023-11-03,Completed
"Tourism Orientation",2023-05-06,Completed
"Campus Engineering Design Forum",2023-02-05,Completed
"Sustainability and Volunteerism Orientation",2025-07-05,Completed
"Future-Ready Community Outreach Seminar",2023-12-19,Completed
"Health Awareness Symposium",2025-03-03,Completed
"Wellness and Leadership Conference",2023-08-13,Completed
"Annual Science Education Seminar",2024-04-18,Completed
"Psychology and Science Education Summit",2025-01-09,Completed
"Science Education Workshop",2026-06-26,Upcoming
"Annual Nursing Care Showcase",2024-06-16,Completed
"Cybersecurity Colloquium",2026-02-05,Completed
"Community Outreach and Financial Literacy Showcase",2025-06-06,Completed
"Nursing Care and Language and Literature Training",2024-10-22,Completed
"Athletics Mentoring Day",2024-08-27,Completed
"Campus Journalism Seminar",2025-03-12,Completed
"College Service Learning Showcase",2024-04-22,Completed
"Nursing Care and Digital Literacy Expo",2024-02-18,Completed
"University-Wide Service Learning Summit",2024-03-29,Completed
"Wellness Congress",2026-12-17,Upcoming
"Environmental Awareness and Data Analytics Colloquium",2023-02-11,Completed
"Volunteerism and Teaching Excellence Congress",2025-01-25,Completed
"Debate and Robotics Mentoring Day",2026-06-03,Upcoming
"Inclusive Education Mentoring Day",2025-02-18,Completed
"Health Awareness and Entrepreneurship Orientation",2023-06-02,Completed
"Research Summit",2025-09-28,Completed
"Teaching Excellence and Community Outreach Assembly",2026-06-29,Upcoming
"University-Wide Career Development Training",2024-12-24,Completed
"Community Academic Excellence Workshop",2023-12-07,Completed
"Psychology and Volunteerism Camp",2023-02-02,Completed
"Campus Public Speaking Showcase",2025-08-14,Completed
"Volunteerism Learning Session",2024-12-24,Completed
"Young Leaders Entrepreneurship Forum",2024-01-26,Completed
"Inclusive Health Awareness Orientation",2024-06-26,Completed
"Future-Ready Engineering Design Seminar",2024-01-01,Completed
"Future-Ready Hospitality Dialogue",2025-03-11,Completed
"Environmental Awareness and Entrepreneurship Showcase",2026-06-22,Upcoming
"Volunteerism and Media Production Mentoring Day",2023-01-14,Completed
"Public Speaking and Campus Journalism Mentoring Day",2025-06-27,Completed
"Science Education and Engineering Design Summit",2024-11-04,Completed
"Future-Ready Research Orientation",2026-03-26,Completed
"STEM Expo",2024-01-28,Completed
"Applied STEM Symposium",2024-11-12,Completed
"University-Wide Alumni Engagement Series",2026-04-24,Upcoming
"Campus Hospitality Bootcamp",2025-08-25,Completed
"Industry-Academe STEM Mentoring Day",2026-12-28,Upcoming
"College Athletics Learning Session",2026-04-20,Completed
"Robotics Congress",2024-11-14,Completed
"Debate Seminar",2024-08-26,Completed
"Nursing Care Camp",2025-08-13,Completed
"Creative Campus Journalism Training",2026-10-07,Upcoming
"Debate and Nursing Care Conference",2023-06-21,Completed
"Arts and Culture Expo",2026-10-27,Upcoming
"Regional STEM Symposium",2024-09-18,Completed
"Tourism and Service Learning Showcase",2024-10-03,Completed
"Annual Innovation Mentoring Day",2024-10-30,Completed
"Student Government Series",2025-01-26,Completed
"Cybersecurity Training",2025-04-17,Completed
"Inclusive Education and Robotics Summit",2025-10-29,Completed
"Community Campus Journalism Training",2023-06-03,Completed
"Service Learning Bootcamp",2025-09-22,Completed
"Research Orientation",2025-11-03,Completed
"Leadership and Sustainability Forum",2023-08-15,Completed
"Wellness Fair",2026-06-27,Upcoming
"Innovation and Data Analytics Fair",2026-03-05,Completed
"Future-Ready Student Government Assembly",2024-01-03,Completed
"Cybersecurity Orientation",2024-12-05,Completed
"Young Leaders Inclusive Education Series",2025-11-21,Completed
"Arts and Culture and Cybersecurity Camp",2025-12-12,Completed
"Financial Literacy and Disaster Preparedness Forum",2026-04-16,Completed
"Academic Excellence Colloquium",2025-05-09,Completed
"Sustainability Dialogue",2026-03-04,Completed
"Student Science Education Conference",2025-10-04,Completed
"Applied Student Government Forum",2025-11-11,Completed
"Inclusive Education and Science Education Bootcamp",2023-12-02,Completed
"Creative Alumni Engagement Series",2024-08-19,Completed
"Mental Health Summit",2024-02-15,Completed
"Regional Community Outreach Assembly",2023-03-24,Completed
"Nursing Care Camp",2025-05-06,Completed
"Public Speaking Fair",2025-05-02,Completed
"Entrepreneurship Summit",2025-08-25,Completed
"Career Development Showcase",2025-01-10,Completed
"Cybersecurity and Disaster Preparedness Symposium",2024-02-15,Completed
"Young Leaders Leadership Colloquium",2023-06-12,Completed
"Mental Health and Academic Excellence Camp",2026-09-09,Upcoming
"Service Learning and Media Production Colloquium",2025-02-08,Completed
"Nursing Care and Community Outreach Showcase",2026-02-20,Completed
"Inclusive Financial Literacy Camp",2026-12-10,Upcoming
"Digital Literacy Bootcamp",2025-12-06,Completed
"Psychology and Student Government Orientation",2024-10-21,Completed
"Wellness Symposium",2024-01-14,Completed
"Faculty Teaching Excellence Workshop",2024-12-15,Completed
"Teaching Excellence Series",2023-10-07,Completed
"Engineering Design Summit",2026-11-23,Upcoming
"Business Management Fair",2024-11-11,Completed
"Data Analytics and Academic Excellence Workshop",2026-05-27,Upcoming
"Service Learning and Science Education Mentoring Day",2023-04-26,Completed
"Sustainability and Student Government Workshop",2025-07-18,Completed
"Digital Literacy and Financial Literacy Symposium",2023-11-08,Completed
"Community Outreach and Disaster Preparedness Assembly",2024-03-05,Completed
"Campus Journalism and Research Learning Session",2025-03-01,Completed
"Community STEM Workshop",2026-07-03,Upcoming
"STEM Training",2025-02-11,Completed
"Language and Literature Series",2023-02-04,Completed
"Alumni Engagement and Media Production Showcase",2024-11-26,Completed
"STEM and Arts and Culture Camp",2024-04-19,Completed
"Inclusive Campus Journalism Fair",2026-10-06,Upcoming
"Industry-Academe Sustainability Orientation",2023-07-24,Completed
"Young Leaders Debate Camp",2026-03-28,Completed
"College Student Government Colloquium",2023-01-11,Completed
"Health Awareness Bootcamp",2024-04-15,Completed
"Athletics Expo",2026-11-01,Upcoming
"Innovation and Environmental Awareness Summit",2024-08-07,Completed
"Digital Literacy Symposium",2024-07-19,Completed
"University-Wide Alumni Engagement Conference",2023-08-15,Completed
"Volunteerism and Environmental Awareness Seminar",2024-05-01,Completed
"Industry-Academe Arts and Culture Fair",2023-06-13,Completed
"Applied Public Speaking Forum",2023-08-22,Completed
"STEM Workshop",2023-02-09,Completed
"Digital Literacy and Cybersecurity Expo",2023-03-14,Completed
"Service Learning and Cybersecurity Mentoring Day",2026-09-06,Upcoming
"Environmental Awareness and Innovation Congress",2025-03-25,Completed
"Debate Bootcamp",2025-10-01,Completed
"Media Production and Business Management Seminar",2023-12-17,Completed
"University-Wide Nursing Care Series",2024-03-08,Completed
"Community Outreach Symposium",2024-05-16,Completed
"Cybersecurity and Health Awareness Dialogue",2024-05-18,Completed
"Faculty Academic Excellence Mentoring Day",2023-08-19,Completed
"Innovation Dialogue",2023-12-24,Completed
"Young Leaders Engineering Design Symposium",2023-01-01,Completed
"Faculty Career Development Expo",2023-03-09,Completed
"Faculty Health Awareness Bootcamp",2023-04-14,Completed
"Engineering Design and Digital Literacy Camp",2026-08-04,Upcoming
"Innovation and Teacher Training Summit",2023-08-14,Completed
"Faculty Mental Health Seminar",2025-06-28,Completed
"Campus Alumni Engagement Expo",2024-07-11,Completed
"Teaching Excellence and Public Speaking Training",2023-11-01,Completed
"Student Teacher Training Expo",2023-03-06,Completed
"Environmental Awareness Mentoring Day",2023-08-31,Completed
"Disaster Preparedness Symposium",2024-10-03,Completed
"Digital Literacy and Alumni Engagement Assembly",2025-11-22,Completed
"Engineering Design and Environmental Awareness Colloquium",2025-06-06,Completed
"Interdepartmental Student Government Learning Session",2026-03-09,Completed
"Student Media Production Camp",2023-05-07,Completed
"Creative Data Analytics Series",2026-09-10,Upcoming
"Campus Journalism Bootcamp",2023-09-28,Completed
"Student Disaster Preparedness Showcase",2025-02-03,Completed
"Arts and Culture and Volunteerism Mentoring Day",2023-05-02,Completed
"Innovation and Arts and Culture Fair",2026-08-12,Upcoming
"Creative Inclusive Education Summit",2025-04-25,Completed
"Wellness and Arts and Culture Fair",2024-11-28,Completed
"Entrepreneurship and Language and Literature Expo",2024-07-16,Completed
"Campus Journalism and Teacher Training Bootcamp",2023-07-26,Completed
"College Arts and Culture Summit",2025-08-30,Completed
"Disaster Preparedness Series",2025-07-28,Completed
"Annual Leadership Mentoring Day",2024-04-12,Completed
"Media Production and Entrepreneurship Learning Session",2026-09-30,Upcoming
"Data Analytics Camp",2025-11-02,Completed
"Psychology Learning Session",2026-09-07,Upcoming
"Inclusive Robotics Seminar",2024-11-17,Completed
"Robotics and Mental Health Training",2026-03-21,Completed
"Inclusive Education and Wellness Mentoring Day",2026-10-20,Upcoming
"Entrepreneurship Mentoring Day",2023-01-14,Completed
"Teaching Excellence and Psychology Assembly",2024-12-16,Completed
"Interdepartmental Academic Excellence Orientation",2025-08-17,Completed
"Disaster Preparedness and Athletics Congress",2026-03-25,Completed
"Data Analytics and Career Development Summit",2026-12-21,Upcoming
"Student Government Summit",2026-02-02,Completed
"Annual Financial Literacy Expo",2023-10-16,Completed
"Alumni Engagement and Athletics Colloquium",2026-12-13,Upcoming
"Inclusive Education and Entrepreneurship Training",2023-02-07,Completed
"Service Learning and Robotics Forum",2025-05-28,Completed
"Interdepartmental Science Education Expo",2025-06-09,Completed
"Student Health Awareness Camp",2025-01-11,Completed
"Tourism and Arts and Culture Mentoring Day",2023-05-16,Completed
"Creative Service Learning Fair",2026-03-21,Completed
"Teacher Training Assembly",2024-01-13,Completed
"Robotics and Science Education Camp",2023-05-16,Completed
"Teaching Excellence and Language and Literature Colloquium",2026-12-06,Upcoming
"Student Government Expo",2024-02-12,Completed
"Career Development Fair",2025-06-02,Completed
"Sustainability and Psychology Orientation",2024-05-09,Completed
"Language and Literature Bootcamp",2024-04-07,Completed
"Tourism and Teacher Training Colloquium",2025-10-28,Completed
"Interdepartmental Academic Excellence Orientation",2025-06-25,Completed
"Service Learning Expo",2025-01-24,Completed
"Wellness Conference",2025-11-04,Completed
"Science Education and Teacher Training Camp",2025-11-11,Completed
"Hospitality and Data Analytics Expo",2026-10-15,Upcoming
"Applied Engineering Design Training",2024-06-16,Completed
"Industry-Academe Hospitality Training",2025-01-20,Completed
"Disaster Preparedness Symposium",2024-09-07,Completed
"Public Speaking Congress",2023-10-08,Completed
"Campus Journalism Learning Session",2026-03-29,Completed
"Financial Literacy Showcase",2024-03-15,Completed
"Student Hospitality Conference",2025-06-02,Completed
"Inclusive Arts and Culture Summit",2025-12-05,Completed
"Young Leaders Mental Health Conference",2024-08-18,Completed
"Inclusive Education Seminar",2026-05-16,Upcoming
"Faculty Language and Literature Expo",2023-03-03,Completed
"Applied Digital Literacy Camp",2024-08-13,Completed
"Campus Journalism and Teacher Training Camp",2025-04-20,Completed
"Volunteerism and Campus Journalism Mentoring Day",2024-09-28,Completed
"Health Awareness and Tourism Fair",2024-10-06,Completed
"Innovation and Environmental Awareness Orientation",2025-11-05,Completed
"Campus Research Seminar",2024-08-05,Completed
"Interdepartmental Service Learning Dialogue",2026-01-22,Completed
"Annual Alumni Engagement Orientation",2023-12-16,Completed
"Teaching Excellence and Service Learning Camp",2024-12-11,Completed
"Debate and Mental Health Training",2024-12-01,Completed
"Environmental Awareness Congress",2024-03-24,Completed
"Disaster Preparedness and Health Awareness Fair",2026-01-17,Completed
"Wellness and Language and Literature Colloquium",2024-12-20,Completed
"Future-Ready Campus Journalism Workshop",2026-06-28,Upcoming
"STEM and Business Management Training",2024-06-17,Completed
"Future-Ready Environmental Awareness Orientation",2023-03-12,Completed
"Mental Health Fair",2025-08-13,Completed
"Future-Ready Cybersecurity Assembly",2026-03-03,Completed
"Sustainability and Volunteerism Forum",2025-06-07,Completed
"Business Management Camp",2023-10-19,Completed
"Mental Health Orientation",2026-05-09,Upcoming
"Inclusive Education Camp",2023-06-17,Completed
"Language and Literature and Athletics Series",2023-11-22,Completed
"Health Awareness Assembly",2025-05-09,Completed
"Faculty Financial Literacy Series",2026-12-09,Upcoming
"Mental Health and Academic Excellence Mentoring Day",2026-01-19,Completed
"Entrepreneurship Learning Session",2024-02-17,Completed
"Science Education and Public Speaking Summit",2026-03-25,Completed
"Industry-Academe Tourism Training",2025-06-24,Completed
"Creative Data Analytics Assembly",2024-11-02,Completed
"Campus Community Outreach Summit",2024-12-23,Completed
"Teaching Excellence Assembly",2026-10-20,Upcoming
"Service Learning and Athletics Dialogue",2026-02-13,Completed
"Creative Student Government Learning Session",2023-07-08,Completed
"Applied Academic Excellence Series",2024-01-30,Completed
"University-Wide Digital Literacy Showcase",2024-05-22,Completed
"Campus Journalism and Psychology Fair",2025-06-09,Completed
"Public Speaking Dialogue",2025-02-11,Completed
"Applied Entrepreneurship Dialogue",2024-07-27,Completed
"Annual Sustainability Colloquium",2025-01-27,Completed
"Future-Ready Disaster Preparedness Dialogue",2024-08-03,Completed
"Cybersecurity Congress",2025-09-08,Completed
"Creative Community Outreach Dialogue",2023-01-11,Completed
"Faculty Entrepreneurship Training",2023-01-08,Completed
"STEM and Academic Excellence Symposium",2026-02-28,Completed
"Cybersecurity and Business Management Workshop",2026-05-15,Upcoming
"Regional Engineering Design Colloquium",2025-10-16,Completed
"Digital Literacy and Media Production Dialogue",2023-09-04,Completed
"Campus Journalism and Academic Excellence Series",2026-11-22,Upcoming
"Research Expo",2024-11-23,Completed
"Financial Literacy Series",2025-01-05,Completed
"Psychology Dialogue",2024-09-07,Completed
"Language and Literature and Campus Journalism Assembly",2023-05-13,Completed
"Applied Student Government Conference",2025-06-02,Completed
"Public Speaking Series",2023-10-17,Completed
"Community Outreach Learning Session",2025-07-29,Completed
"Inclusive Campus Journalism Workshop",2024-08-14,Completed
"Regional Financial Literacy Orientation",2024-10-03,Completed
"Hospitality and Career Development Colloquium",2025-01-03,Completed
"Psychology Fair",2024-12-25,Completed
"Arts and Culture and Data Analytics Training",2026-10-16,Upcoming
"Inclusive Language and Literature Conference",2024-02-29,Completed
"Psychology Camp",2023-12-21,Completed
"Community Inclusive Education Expo",2023-10-21,Completed
"Engineering Design and Career Development Expo",2024-06-09,Completed
"Data Analytics Workshop",2026-02-15,Completed
"Debate Dialogue",2023-01-29,Completed
"Student Government Workshop",2024-09-20,Completed
"Inclusive Public Speaking Expo",2023-08-12,Completed
"Disaster Preparedness and Athletics Forum",2026-05-30,Upcoming
"Disaster Preparedness Mentoring Day",2026-07-01,Upcoming
"Volunteerism and Teacher Training Symposium",2023-12-19,Completed
"Wellness Orientation",2024-02-17,Completed
"Industry-Academe Cybersecurity Fair",2026-04-27,Upcoming
"Entrepreneurship and Volunteerism Camp",2024-01-15,Completed
"Applied Science Education Showcase",2026-12-04,Upcoming
"Research and Wellness Fair",2025-11-09,Completed
"Innovation and Financial Literacy Symposium",2023-07-01,Completed
"Inclusive Education Summit",2026-09-04,Upcoming
"Applied Tourism Mentoring Day",2026-10-16,Upcoming
"Data Analytics Colloquium",2024-01-15,Completed
"Entrepreneurship and Robotics Bootcamp",2025-06-09,Completed
"Service Learning and Cybersecurity Training",2024-01-20,Completed
"Nursing Care and Alumni Engagement Camp",2023-10-15,Completed
"Research and Digital Literacy Workshop",2024-08-27,Completed
"Faculty Robotics Expo",2023-11-26,Completed
"Campus Journalism and Entrepreneurship Summit",2024-02-23,Completed
"Campus Journalism Forum",2024-10-30,Completed
"Science Education and Engineering Design Expo",2026-07-04,Upcoming
"Debate and Leadership Conference",2026-02-23,Completed
"Athletics Dialogue",2023-10-31,Completed
"Community Digital Literacy Series",2026-03-24,Completed
"Innovation and Athletics Symposium",2024-01-13,Completed
"Wellness and Business Management Series",2023-02-16,Completed
"Public Speaking Conference",2023-12-04,Completed
"Career Development and Volunteerism Forum",2024-08-25,Completed
"Hospitality and Tourism Camp",2023-12-18,Completed
"Financial Literacy and Research Colloquium",2023-08-27,Completed
"Regional Service Learning Fair",2026-12-08,Upcoming
"Engineering Design and Wellness Symposium",2024-12-19,Completed
"Engineering Design and Data Analytics Bootcamp",2023-05-27,Completed
"Cybersecurity and Innovation Showcase",2024-12-09,Completed
"Student Service Learning Showcase",2025-09-09,Completed
"Disaster Preparedness Mentoring Day",2025-08-07,Completed
"Young Leaders Digital Literacy Assembly",2024-06-09,Completed
"Nursing Care Bootcamp",2024-06-10,Completed
"Athletics Camp",2024-08-19,Completed
"Applied Tourism Colloquium",2025-12-31,Completed
"Future-Ready Science Education Conference",2023-10-03,Completed
"Tourism Training",2026-07-14,Upcoming
"Teaching Excellence and Business Management Seminar",2025-09-19,Completed
"Language and Literature Camp",2023-09-29,Completed
"STEM Bootcamp",2025-12-16,Completed
"Campus Journalism Orientation",2024-04-15,Completed
"Career Development Colloquium",2025-12-03,Completed
"Applied Wellness Expo",2025-05-24,Completed
"Environmental Awareness and Disaster Preparedness Fair",2026-09-01,Upcoming
"Applied Career Development Congress",2024-07-18,Completed
"Debate Orientation",2025-12-06,Completed
"Community Cybersecurity Showcase",2024-05-24,Completed
"Business Management and Science Education Summit",2026-01-29,Completed
"Science Education Learning Session",2026-08-07,Upcoming
"Hospitality Congress",2023-06-06,Completed
"Inclusive Debate Bootcamp",2024-03-29,Completed
"Health Awareness and Academic Excellence Fair",2024-04-10,Completed
"Applied Teaching Excellence Summit",2023-06-10,Completed
"Campus Journalism Colloquium",2024-10-19,Completed
"Career Development Mentoring Day",2025-06-25,Completed
"Young Leaders Inclusive Education Conference",2026-11-26,Upcoming
"Creative Psychology Learning Session",2026-11-24,Upcoming
"Public Speaking Seminar",2025-06-19,Completed
"University-Wide Data Analytics Mentoring Day",2025-12-08,Completed
"Young Leaders Career Development Assembly",2024-04-21,Completed
"Tourism and Alumni Engagement Symposium",2026-08-26,Upcoming
"Digital Literacy and Teaching Excellence Training",2023-11-20,Completed
"Research and Teaching Excellence Summit",2024-10-16,Completed
"Arts and Culture Dialogue",2023-02-09,Completed
"Media Production and Career Development Forum",2024-07-12,Completed
"Athletics Learning Session",2024-09-16,Completed
"Academic Excellence and Teaching Excellence Summit",2025-10-05,Completed
"Leadership and Business Management Fair",2025-06-19,Completed
"Entrepreneurship Seminar",2024-02-21,Completed
"Environmental Awareness and Media Production Summit",2023-03-22,Completed
"Faculty Inclusive Education Fair",2024-12-24,Completed
"Career Development and Research Colloquium",2026-03-29,Completed
"Service Learning and Community Outreach Showcase",2023-02-20,Completed
"Student Campus Journalism Workshop",2025-02-11,Completed
"Applied Entrepreneurship Expo",2024-06-28,Completed
"Sustainability and Service Learning Summit",2025-11-03,Completed
"Digital Literacy Dialogue",2024-10-13,Completed
"College Debate Camp",2024-01-28,Completed
"Sustainability Fair",2024-02-18,Completed
"College Teaching Excellence Dialogue",2024-01-05,Completed
"Language and Literature and Volunteerism Expo",2025-12-28,Completed
"Mental Health Dialogue",2026-06-18,Upcoming
"Student Government and Campus Journalism Series",2023-09-18,Completed
"Career Development Showcase",2023-03-07,Completed
"Research Workshop",2024-10-31,Completed
"Campus Journalism Dialogue",2023-12-23,Completed
"Digital Literacy Forum",2023-10-18,Completed
"Faculty STEM Seminar",2025-11-03,Completed
"Annual Language and Literature Conference",2025-01-05,Completed
"Campus Journalism Conference",2024-12-21,Completed
"Research and Disaster Preparedness Seminar",2026-05-23,Upcoming
"Health Awareness and Robotics Colloquium",2024-04-12,Completed
"Language and Literature and Public Speaking Bootcamp",2025-09-14,Completed
"Community Tourism Mentoring Day",2026-12-17,Upcoming
"STEM and Service Learning Learning Session",2024-06-06,Completed
"Disaster Preparedness Bootcamp",2023-01-05,Completed
"College Student Government Symposium",2026-11-06,Upcoming
"Environmental Awareness and Financial Literacy Bootcamp",2026-12-04,Upcoming
"Data Analytics and Cybersecurity Assembly",2024-08-25,Completed
"Service Learning and Digital Literacy Symposium",2024-03-17,Completed
"Entrepreneurship Dialogue",2025-07-19,Completed
"Disaster Preparedness and Science Education Assembly",2023-07-27,Completed
"Sustainability Dialogue",2026-02-10,Completed
"College Mental Health Symposium",2026-07-24,Upcoming
"Community Data Analytics Orientation",2023-04-18,Completed
"Environmental Awareness Fair",2023-08-23,Completed
"Environmental Awareness Dialogue",2025-08-06,Completed
"Data Analytics and Volunteerism Workshop",2025-08-06,Completed
"Campus Debate Showcase",2023-03-03,Completed
"Mental Health and Tourism Bootcamp",2025-05-31,Completed
"Annual Business Management Assembly",2026-08-31,Upcoming
"Athletics Training",2024-03-22,Completed
"Service Learning Workshop",2025-11-17,Completed
"Data Analytics Workshop",2024-02-18,Completed
"Public Speaking Summit",2026-03-12,Completed
